,aweme_id,comment_count,digg_count,download_count,share_count,duration
0,7241572653792759082,145,113176,3239,1024,5875
1,7250248848122318126,12032,1280541,42096,130355,6315
2,7249461775173766443,42594,11814896,8217,2034298,5084
3,7252393384923401515,33492,9309351,611265,253392,67073
4,7237777387637722414,4,150267,1462,1983,121905
5,7238721690073615659,4612,391017,1877,6936,7067
6,7254076369590832389,0,174,6,2,14870
7,7251211991409315115,48,14880,240,737,77230
8,7222740289390169387,1650,749911,6796,5414,26865
9,7246773564232207659,1451,295084,34932,32223,5875
10,7252393384923401515,33493,9309629,611278,253397,67073
11,7248883883897376043,70548,6951992,315266,809670,10867
12,7237777387637722414,4,150267,1462,1983,121905
13,7250328864004656392,2595,1184969,1271,44544,24635
14,7245367885072387374,15238,5715929,132595,103651,29210
15,7252998519559343406,890,435827,7611,5474,396834
16,7248300636498890011,60303,7155276,31667,283076,48584
17,7249302522802834731,14380,3227484,104244,99719,6200
18,7246773564232207659,1451,295085,34932,32224,5875
19,7250248848122318126,12032,1280566,42098,130356,6315
20,7248300636498890011,60305,7155329,31667,283076,48584
21,7242634777709284654,23112,5756380,276509,538278,12134
22,7243234313767013658,1721,565079,6830,16789,9078
23,7244884367116487963,62589,7605922,269734,309753,7313
24,7247619902213754158,49722,7155496,42020,77873,57910
